time_s,Qin_m3_s,Qout_m3_s,Qleak_m3_s,P_damage_Pa,sensor_voltage_V,sensor_deltaP_Pa,leak_conductance_m3_Pa_s,hydrogel_swelling_fraction
155,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004797663407030025,224.35565240299206,0.0,0.0
156,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004743121297054581,224.35565240299206,0.0,0.0
157,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047619519396569946,224.35565240299206,0.0,0.0
158,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004754345947995811,224.35565240299206,0.0,0.0
159,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047866165516156174,224.35565240299206,0.0,0.0
160,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004728745452279641,224.35565240299206,0.0,0.0
161,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004724912589696542,224.35565240299206,0.0,0.0
162,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004786609477892075,224.35565240299206,0.0,0.0
163,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047578577546022246,224.35565240299206,0.0,0.0
164,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004778780105607355,224.35565240299206,0.0,0.0
165,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004765785455776766,224.35565240299206,0.0,0.0
166,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047906267966240425,224.35565240299206,0.0,0.0
167,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047279711467479386,224.35565240299206,0.0,0.0
168,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047846976472612046,224.35565240299206,0.0,0.0
169,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004771235733339501,224.35565240299206,0.0,0.0
170,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047552843984173407,224.35565240299206,0.0,0.0
171,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047782652706078736,224.35565240299206,0.0,0.0
172,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047701003056341973,224.35565240299206,0.0,0.0
173,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000477658685396809,224.35565240299206,0.0,0.0
174,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004767983272136277,224.35565240299206,0.0,0.0
175,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047887249097415573,224.35565240299206,0.0,0.0
176,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004774073818551597,224.35565240299206,0.0,0.0
177,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004769451915533796,224.35565240299206,0.0,0.0
178,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047719885771156336,224.35565240299206,0.0,0.0
179,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004764180257941675,224.35565240299206,0.0,0.0
180,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047711761014266853,224.35565240299206,0.0,0.0
181,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047502498288707636,224.35565240299206,0.0,0.0
182,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004771777975555268,224.35565240299206,0.0,0.0
183,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004768047048965469,224.35565240299206,0.0,0.0
184,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004778609683759468,224.35565240299206,0.0,0.0
185,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004775844353841856,224.35565240299206,0.0,0.0
186,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047906039128559454,224.35565240299206,0.0,0.0
187,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004754938358621992,224.35565240299206,0.0,0.0
188,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004788164417392601,224.35565240299206,0.0,0.0
189,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004780231185003318,224.35565240299206,0.0,0.0
190,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004758129163999327,224.35565240299206,0.0,0.0
191,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047572625897206606,224.35565240299206,0.0,0.0
192,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047733163520596525,224.35565240299206,0.0,0.0
193,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004805699373249327,224.35565240299206,0.0,0.0
194,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047569037912936394,224.35565240299206,0.0,0.0
195,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000476012278786171,224.35565240299206,0.0,0.0
196,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047935616813489865,224.35565240299206,0.0,0.0
197,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004749907615383661,224.35565240299206,0.0,0.0
198,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000477933605304822,224.35565240299206,0.0,0.0
199,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004787837819362617,224.35565240299206,0.0,0.0
200,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004763399442820266,224.35565240299206,0.0,0.0
201,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047688834656675356,224.35565240299206,0.0,0.0
202,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004761261577019728,224.35565240299206,0.0,0.0
203,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000479742901820604,224.35565240299206,0.0,0.0
204,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047290694547141035,224.35565240299206,0.0,0.0
205,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047773672293304257,224.35565240299206,0.0,0.0
206,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047961072432094794,224.35565240299206,0.0,0.0
207,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004752937213268208,224.35565240299206,0.0,0.0
208,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047724101396415746,224.35565240299206,0.0,0.0
209,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004758816887324093,224.35565240299206,0.0,0.0
210,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047721062256520516,224.35565240299206,0.0,0.0
211,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047665088642491493,224.35565240299206,0.0,0.0
212,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047603986001647783,224.35565240299206,0.0,0.0
